first_name,second_name,goals_scored,attempted_passes,assists,total_points,minutes,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,selected_by_percent,now_cost,element_type
Sergio,Agüero,6,,1,40,266,3,68.9,227.8,194.0,6,176,49.1,1,0,0,24.0,121,4
Gabriel Fernando,de Jesus,1,,0,7,92,0,5.6,33.4,90.0,0,34,12.7,1,0,0,1.6,95,4
Ederson,Santana de Moraes,0,,0,17,360,3,0.0,90.6,0.0,0,81,9.1,2,0,1,22.8,61,1
Claudio,Bravo,0,,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.3,49,1
Raheem,Sterling,5,,0,37,360,3,70.6,196.2,271.0,4,117,53.8,2,0,2,46.5,123,3
Kevin,De Bruyne,1,,5,36,326,3,234.1,174.0,108.0,6,144,51.7,2,0,0,32.4,98,3
Leroy,Sané,0,,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.3,93,3
Riyad,Mahrez,0,,3,19,201,0,132.1,82.6,91.0,2,69,30.6,2,0,0,3.1,85,3
Bernardo Mota,Veiga de Carvalho e Silva,1,,0,10,169,3,44.3,48.8,162.0,0,41,25.5,0,0,0,12.9,78,3
David,Silva,0,,4,24,258,1,104.7,97.4,76.0,3,86,27.9,2,0,0,6.9,74,3
Phil,Foden,0,,0,1,10,0,0.4,1.0,0.0,0,3,0.1,0,0,0,0.4,53,3
Fernando,Luiz Rosa,0,,0,1,53,0,0.8,16.8,0.0,0,12,1.8,0,0,0,0.7,53,3
Ilkay,Gündogan,0,,0,5,179,3,59.8,31.6,21.0,0,36,11.2,0,0,0,1.9,54,3
José Ángel,Esmorís Tasende,0,,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,48,2
Rodrigo,Hernandez,0,,0,9,289,2,48.0,62.0,29.0,0,57,13.9,2,0,0,1.4,55,3
João Pedro Cavaco,Cancelo,0,,0,1,1,0,0.0,0.2,0.0,0,2,0.0,0,0,0,1.0,54,2
Aaron,Wan-Bissaka,0,,0,11,360,4,61.4,97.2,19.0,2,75,17.8,1,0,2,31.9,55,2
Harry,Maguire,0,,0,10,360,4,41.3,92.0,31.0,0,79,16.5,1,0,1,17.4,55,2
Chris,Smalling,0,,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,54,2
Ashley,Young,0,,0,2,146,2,96.7,21.2,10.0,0,22,12.8,0,0,1,0.4,54,2
Victor,Lindelöf,0,,0,10,360,4,15.1,67.8,0.0,0,68,8.3,1,0,1,1.2,55,2
Luke,Shaw,0,,0,9,213,2,58.4,34.0,10.0,0,50,10.2,1,0,0,1.1,54,2
Marcos,Rojo,0,,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,49,2
Eric,Bailly,0,,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,49,2
José Diogo,Dalot Teixeira,0,,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,49,2
Matteo,Darmian,0,,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,49,2
Phil,Jones,0,,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,49,2
Romelu,Lukaku,0,,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.4,85,4
Marcus,Rashford,2,,1,21,353,4,70.2,101.8,214.0,4,73,38.7,1,0,0,21.6,85,4
Mason,Greenwood,0,,0,4,47,1,4.0,6.4,27.0,0,13,3.7,0,0,0,14.8,45,4
David,de Gea,0,,0,15,360,4,0.0,76.4,0.0,2,64,7.6,1,0,0,18.9,56,1
Sergio,Romero,0,,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,49,1
Lee,Grant,0,,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,49,1
Paul,Pogba,0,,2,13,360,4,140.2,84.4,58.0,0,56,28.3,1,0,0,7.6,85,3
