assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,id,in_dreamteam,influence,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_saved,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards
2,0,63,None,None,0,171129,0,0,1,-1,63.4,0,2,2.5,2.5,5,Diego,2.5,3,0,15.9,65,False,84.6,270,,None,41,0,0,0,171129.jpg,4.0,0,0,Rico,10.6,False,None,a,3,91,11.0,12,537548,111797,205511,15038,0.6,2.9,Rico,0
0,0,0,None,None,0,222434,0,0,0,0,0.0,0,2,0.0,0.0,0,Jack,0.0,0,0,0.0,66,False,0.0,0,,None,40,0,0,0,222434.jpg,0.0,0,0,Simpson,7.0,False,None,a,3,91,0.0,0,103080,15117,171657,20882,0.0,0.0,Simpson,0
3,4,135,None,None,0,75115,0,0,-2,2,100.1,1,4,7.5,7.5,7,Callum,7.5,10,4,43.4,67,False,158.4,517,,None,78,0,0,0,75115.jpg,6.7,0,0,Wilson,11.0,False,None,a,3,91,174.0,40,294267,104682,715550,31830,1.0,5.1,Callum Wilson,1
2,2,68,None,None,0,78007,0,0,-2,2,97.7,0,4,4.0,4.0,2,Joshua,4.0,10,1,31.8,68,False,110.4,528,,None,63,0,0,0,78007.jpg,4.0,0,0,King,8.4,False,None,a,3,91,110.0,24,240564,26777,933664,78246,0.6,3.8,King,0
0,0,15,None,None,0,154566,0,0,-1,1,37.1,0,4,1.5,1.5,2,Dominic,1.5,3,0,14.6,69,False,17.2,228,,None,54,0,0,0,154566.jpg,1.3,0,0,Solanke,0.4,False,None,a,3,91,91.0,8,15560,2956,26998,2349,0.3,1.5,Solanke,0
0,0,0,0,0,0,217331,0,0,-1,1,0.0,0,4,0.0,0.0,0,Sam,0.0,0,0,0.0,71,False,0.0,0,Joined Swansea City on loan until the end of the season on 6/8. - Expected back 01 Jul,2019-08-07T20:00:14.104634Z,44,0,0,0,217331.jpg,0.0,0,0,Surridge,0.7,False,None,n,3,91,0.0,0,35870,2194,52141,4638,0.0,0.0,Surridge,0
0,0,0,0,0,0,40349,-1,1,-2,2,0.0,0,1,0.0,0.0,0,Asmir,0.0,0,0,0.0,72,False,0.0,0,Joined Qarabag on loan until January on 2/9. - Expected back 01 Feb,2019-09-02T17:00:12.309749Z,43,0,0,0,40349.jpg,0.0,0,0,Begovic,1.4,False,None,n,3,91,0.0,0,11097,107,113960,9499,0.0,0.0,Begovic,0
0,0,0,None,None,0,18726,0,0,-1,1,0.0,0,1,0.0,0.0,0,Artur,0.0,0,0,0.0,73,False,0.0,0,,None,44,0,0,0,18726.jpg,0.0,0,0,Boruc,0.3,False,None,a,3,91,0.0,0,3860,561,11449,1072,0.0,0.0,Boruc,0
0,0,0,None,None,0,229600,0,0,-1,1,0.0,0,1,0.0,0.0,0,Mark,0.0,0,0,0.0,74,False,0.0,0,,None,44,0,0,0,229600.jpg,0.0,0,0,Travers,0.2,False,None,a,3,91,0.0,0,1473,127,7683,524,0.0,0.0,Travers,0
1,2,66,None,None,0,90105,-1,1,-3,3,104.1,0,3,4.0,4.0,1,Ryan,4.0,8,1,25.9,75,False,89.2,420,,None,72,0,0,0,90105.jpg,3.2,0,0,Fraser,5.8,False,None,a,3,91,67.0,19,91042,9543,861799,56277,0.5,2.6,Fraser,1
0,0,0,0,0,0,111317,0,0,-2,2,0.0,0,3,0.0,0.0,0,David,0.0,0,0,0.0,76,False,0.0,0,Ankle injury - Expected back 26 Oct,2019-07-31T21:00:14.727782Z,63,0,0,0,111317.jpg,0.0,0,0,Brooks,0.1,False,None,i,3,91,0.0,0,392,39,16627,448,0.0,0.0,Brooks,0
0,0,0,0,0,0,56872,0,0,-1,1,0.0,0,3,0.0,0.0,0,Junior,0.0,0,0,0.0,77,False,0.0,0,Knee injury - Unknown return date,2019-06-25T11:30:06.990995Z,59,0,0,0,56872.jpg,0.0,0,0,Stanislas,0.0,False,None,i,3,91,0.0,0,116,17,267,19,0.0,0.0,Stanislas,0
0,0,10,None,None,0,103912,0,0,-2,2,5.4,0,3,0.5,0.5,0,Jordon,0.5,1,0,1.2,78,False,6.8,48,,None,48,0,0,0,103912.jpg,1.0,0,0,Ibe,0.2,False,None,a,3,91,0.0,2,3677,343,15703,1142,0.1,0.4,Ibe,0
0,0,12,100,100,0,155408,0,0,0,0,1.1,0,3,0.8,0.8,1,Lewis,0.8,1,0,0.9,79,False,8.4,89,,2019-06-25T11:30:07.007116Z,50,0,0,0,155408.jpg,1.5,0,0,Cook,0.0,False,None,a,3,91,0.0,3,1185,344,498,179,0.2,0.6,Lewis Cook,0
